,Mouse ID,Timepoint,Tumour Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
19,b128,45,45.65133131,2,Capomulin,Female,9,22
24,b742,45,45.0,0,Capomulin,Male,7,21
61,f966,20,45.0,0,Capomulin,Male,16,17
64,g288,45,46.30400254,1,Capomulin,Male,3,19
66,g316,45,46.80922469,2,Capomulin,Female,22,22
81,i557,45,47.68596303,1,Capomulin,Female,1,24
84,i738,45,45.59568527,2,Capomulin,Female,23,20
86,j119,45,48.15820939,1,Capomulin,Female,7,23
88,j246,35,46.408361299999996,1,Capomulin,Female,21,21
109,l509,45,48.07045162,3,Capomulin,Male,17,21
116,l897,45,46.15473721,1,Capomulin,Male,17,19
122,m601,45,45.0,1,Capomulin,Male,22,17
125,m957,45,46.414517700000005,1,Capomulin,Female,3,19
163,r157,15,46.53920617,0,Capomulin,Male,22,25
164,r554,45,45.78174579,3,Capomulin,Female,8,17
170,r944,45,47.37342325,2,Capomulin,Male,12,25
175,s185,45,45.0,1,Capomulin,Female,3,17
181,s710,45,45.0,1,Capomulin,Female,1,23
184,t565,45,46.74900552,0,Capomulin,Female,20,17
193,u364,45,47.21219992,3,Capomulin,Male,18,17
205,v923,45,45.70443431,2,Capomulin,Female,19,21
209,w150,10,45.0,0,Capomulin,Male,23,23
221,w914,45,45.89372032,2,Capomulin,Male,24,21
227,x401,45,45.47375302,0,Capomulin,Female,16,15
240,y793,45,45.0,2,Capomulin,Male,17,17
